,lowpulse,ratio,total_period
128,71.10199999999999,0.6355486033519552,111.875
129,59.339999999999996,0.5500352230173149,107.884
130,71.178,0.6365864129073803,111.812
131,59.443000000000005,0.5511023344644083,107.862
132,71.04599999999999,0.6352524611271559,111.839
133,59.408,0.5510281691447229,107.813
134,71.048,0.6349297134022646,111.899
135,71.53,0.5968891336637795,119.838
136,59.383,0.5505562766549231,107.86
137,71.485,0.6392749190678042,111.822
138,59.97,0.5565971190971191,107.744
139,72.07200000000002,0.643293227176979,112.036
140,60.285000000000004,0.5595622633103141,107.736
141,72.168,0.6442536020996626,112.018
142,59.87999999999999,0.5559733712152864,107.70299999999999
143,71.504,0.6383430790519127,112.015
144,59.739999999999995,0.5543286628931984,107.77000000000001
145,71.17699999999999,0.6360598017926239,111.903
146,59.404,0.5512774112122646,107.757
